,COUNTRY,COURSE TYPE,COURSE (SPECIALIZATION),FEES,Target
366,RUSSIA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in International Business,494819.06,High Cost
367,RUSSIA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Business Administration,138524.04,Low Cost
368,RUSSIA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Economics,456686.55,High Cost
369,RUSSIA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Commerce,467981.73,High Cost
370,RUSSIA,M.ENG,M.ENG in Electrical,373373.33,Low Cost
371,RUSSIA,M.ENG,M.ENG in Civil Engineering,369397.43,Low Cost
372,RUSSIA,M.ENG,M.ENG in Computer Engineering,316264.92,Low Cost
373,RUSSIA,M.ENG,M.ENG in Biology,271084.22,Low Cost
374,RUSSIA,M.ENG,M.ENG in Biomedical,292319.15,Low Cost
375,RUSSIA,M.ENG,M.ENG in Mechatronics,316264.92,Low Cost
376,RUSSIA,M.ENG,M.ENG in Nanotechnology,355120.33,Low Cost
377,RUSSIA,M.ENG,M.ENG in Nuclear,369397.43,Low Cost
378,RUSSIA,M.Sc,M.Sc in Physics,250120.37,Low Cost
379,RUSSIA,M.Sc,M.Sc in Chemistry,105632.48,Low Cost
380,RUSSIA,M.Sc,M.Sc in Biology,307228.78,Low Cost
381,RUSSIA,M.Sc,M.Sc in Psychology ,195993.89,Low Cost
382,RUSSIA,M.Sc,M.Sc in Mathematics,406174.52,High Cost
383,SINGAPORE,MBA,MBA in Banking,1391179.27,High Cost
384,SINGAPORE,MBA,MBA in Business Administration,2086768.9,High Cost
385,SINGAPORE,MBA,MBA in Supplychain & Logistics Management,1623042.48,High Cost
386,SINGAPORE,MBA,MBA in Executive MBA,5881710.3,High Cost
387,SINGAPORE,MBA,MBA in Finance,1411610.47,High Cost
388,SINGAPORE,MBA,MBA in Marketing,1457425.9,High Cost
389,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hotel Management,1647683.75,High Cost
390,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,1552585.78,High Cost
391,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Logistics & Supply Chain ,1604778.22,High Cost
392,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Finance,1552585.78,High Cost
393,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business ,1997057.34,High Cost
394,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Supply Chain Management,1647683.75,High Cost
395,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hospital/Healthcare Management,1454763.65,High Cost
396,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Retail,684383.43,High Cost
397,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Human Resource Management,1281903.28,High Cost
398,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Aviation,1647683.75,High Cost
399,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Accounting,2086768.9,High Cost
400,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Commerce,4624881.68,High Cost
401,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Operations,1647683.75,High Cost
402,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Communication,1967586.88,High Cost
403,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Entrepreneurship & Leadership Management,650083.77,High Cost
404,SINGAPORE,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Project Management,2057979.48,High Cost
405,SINGAPORE,M.ENG,M.ENG in Mechanical,1666629.05,High Cost
406,SINGAPORE,M.ENG,M.ENG in Electrical,744624.52,High Cost
407,SINGAPORE,M.ENG,M.ENG in Architecture,1666629.05,High Cost
408,SINGAPORE,M.ENG,M.ENG in Civil Engineering,2358875.39,High Cost
409,SINGAPORE,M.ENG,M.ENG in Computer Engineering,2285756.45,High Cost
410,SINGAPORE,M.ENG,M.ENG in Aerospace Engineering,1647683.75,High Cost
411,SINGAPORE,M.ENG,M.ENG in Biomedical,1666629.05,High Cost
412,SINGAPORE,M.ENG,M.ENG in Energy Engineering,2474280.74,High Cost
413,SINGAPORE,M.ENG,M.ENG in Mechatronics,594362.3,High Cost
414,SINGAPORE,M.Sc,M.Sc in Biology,817062.43,High Cost
415,ITALY,MBA,MBA in Business Administration,904770.0,High Cost
416,ITALY,MBA,MBA in International Business,1664776.0,High Cost
417,ITALY,MBA,MBA in Operations,904770.0,High Cost
418,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hotel Management,102600.0,Low Cost
419,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,1150324.0,High Cost
420,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Luxury And Brand,1221439.0,High Cost
